State,Population,Abbreviation
 Alabama,4802740,AL
 Alaska,722718,AK
 Arizona,6482505,AZ
 Arkansas,2937979,AR
 California,37691912,CA
 Colorado,5116769,CO
 Connecticut,3580709,CT
 Delaware,907135,DE
 Florida,19057542,FL
 Georgia,9815210,GA
 Hawaii,1374810,HI
 Idaho,1584985,ID
 Illinois,12869257,IL
 Indiana,6516922,IN
 Iowa,3062309,IA
 Kansas,2871238,KS
 Kentucky,4369356,KY
 Louisiana,4574836,LA
 Maine,1328188,ME
 Maryland,5828289,MD
 Massachusetts,6587536,MA
 Michigan,9876187,MI
 Minnesota,5344861,MN
 Mississippi,2978512,MS
 Missouri,6010688,MO
 Montana,998199,MT
 Nebraska,1842641,NE
 Nevada,2723322,NV
 New Hampshire,1318194,NH
 New Jersey,8821155,NJ
 New Mexico,2082224,NM
 New York,19465197,NY
 North Carolina,9656401,NC
 North Dakota,683932,ND
 Ohio,11544951,OH
 Oklahoma,3791508,OK
 Oregon,3871859,OR
 Pennsylvania,12742886,PA
 Rhode Island,1051302,RI
 South Carolina,4679230,SC
 South Dakota,824082,SD
 Tennessee,6403353,TN
 Texas,25674681,TX
 Utah,2817222,UT
 Vermont,626431,VT
 Virginia,8096604,VA
 Washington,6830038,WA
 West Virginia,1855364,WV
 Wisconsin,5711767,WI
 Wyoming,568158,WY
